Date,SPY
2020-09-10,307.4840087890625
2020-09-11,307.64056396484375
2020-09-14,311.69256591796875
2020-09-15,313.26739501953125
2020-09-16,312.0242004394531
2020-09-17,309.2797546386719
2020-09-18,305.7191467285156
2020-09-21,302.3166809082031
2020-09-22,305.3954772949219
2020-09-23,298.31304931640625
2020-09-24,299.1082458496094
2020-09-25,303.9439392089844
2020-09-28,308.9922790527344
2020-09-29,307.3094482421875
2020-09-30,309.6394348144531
2020-10-01,311.6274108886719
2020-10-02,308.66864013671875
2020-10-05,314.142333984375
2020-10-06,309.6764831542969
2020-10-07,315.06689453125
2020-10-08,317.8592224121094
2020-10-09,320.6976318359375
2020-10-12,325.85699462890625
2020-10-13,323.73046875
2020-10-14,321.6962585449219
2020-10-15,321.2987060546875
2020-10-16,321.1045227050781
2020-10-19,316.22265625
2020-10-20,317.4893798828125
2020-10-21,316.8883361816406
2020-10-22,318.62664794921875
2020-10-23,319.70843505859375
2020-10-26,313.80023193359375
2020-10-27,312.71844482421875
2020-10-28,302.02996826171875
2020-10-29,305.09979248046875
2020-10-30,301.9190673828125
2020-11-02,305.3031311035156
2020-11-03,310.6935119628906
2020-11-04,317.6373291015625
2020-11-05,323.83209228515625
2020-11-06,323.7582092285156
2020-11-09,327.8263244628906
2020-11-10,327.3455810546875
2020-11-11,329.77728271484375
2020-11-12,326.57806396484375
2020-11-13,331.09942626953125
2020-11-16,335.2323913574219
2020-11-17,333.429443359375
2020-11-18,329.41668701171875
2020-11-19,330.80364990234375
2020-11-20,328.538330078125
2020-11-23,330.5076904296875
2020-11-24,335.83343505859375
2020-11-25,335.31561279296875
2020-11-27,336.24945068359375
2020-11-30,334.7609558105469
2020-12-01,338.42230224609375
2020-12-02,339.13427734375
2020-12-03,339.0417175292969
2020-12-04,341.9634704589844
2020-12-07,341.2608642578125
2020-12-08,342.2594299316406
2020-12-09,339.1897277832031
2020-12-10,339.0787353515625
2020-12-11,338.68115234375
2020-12-14,337.164794921875
2020-12-15,341.72314453125
2020-12-16,342.2594299316406
2020-12-17,344.17327880859375
2020-12-18,342.7990417480469
2020-12-21,341.5733337402344
2020-12-22,340.9976806640625
2020-12-23,341.3041076660156
2020-12-24,342.6319885253906
2020-12-28,345.57537841796875
2020-12-29,344.9161376953125
2020-12-30,345.4082946777344
2020-12-31,347.1631774902344
2021-01-04,342.4369201660156
2021-01-05,344.79541015625
2021-01-06,346.8567810058594
2021-01-07,352.0102844238281
2021-01-08,354.015869140625
2021-01-11,351.6294250488281
2021-01-12,351.7037048339844
2021-01-13,352.65087890625
2021-01-14,351.4159240722656
2021-01-15,348.8531494140625
2021-01-19,351.59234619140625
2021-01-20,356.4578857421875
2021-01-21,356.78289794921875
2021-01-22,355.5200500488281
2021-01-25,356.9222412109375
2021-01-26,356.3650817871094
2021-01-27,347.6553955078125
2021-01-28,350.645263671875
2021-01-29,343.62542724609375
2021-02-01,349.3453369140625
2021-02-02,354.28509521484375
2021-02-03,354.5636901855469
2021-02-04,358.59356689453125
2021-02-05,360.00494384765625
2021-02-08,362.6048889160156
2021-02-09,362.3634338378906
2021-02-10,362.20562744140625
2021-02-11,362.79058837890625
2021-02-12,364.5826721191406
2021-02-16,364.2669677734375
2021-02-17,364.3504943847656
2021-02-18,362.7997741699219
2021-02-19,362.1591491699219
2021-02-22,359.37353515625
2021-02-23,359.8099365234375
2021-02-24,363.7748718261719
2021-02-25,355.0093994140625
2021-02-26,353.18023681640625
2021-03-01,361.7413330078125
2021-03-02,358.9185791015625
2021-03-03,354.1644592285156
2021-03-04,349.78167724609375
2021-03-05,356.21649169921875
2021-03-08,354.4429931640625
2021-03-09,359.5034484863281
2021-03-10,361.7413330078125
2021-03-11,365.4090270996094
2021-03-12,365.901123046875
2021-03-15,368.08319091796875
2021-03-16,367.6189880371094
2021-03-17,368.87255859375
2021-03-18,363.5054626464844
2021-03-19,362.83294677734375
2021-03-22,365.73016357421875
2021-03-23,362.8515625
2021-03-24,361.0070495605469
2021-03-25,363.037841796875
2021-03-26,368.8882751464844
2021-03-29,368.701904296875
2021-03-30,367.72369384765625
2021-03-31,369.2143249511719
2021-04-01,373.2014465332031
2021-04-05,378.5580139160156
2021-04-06,378.3344421386719
2021-04-07,378.7723083496094
2021-04-08,380.5702819824219
2021-04-09,383.3371276855469
2021-04-12,383.4768981933594
2021-04-13,384.6134033203125
2021-04-14,383.2998962402344
2021-04-15,387.4174499511719
2021-04-16,388.7122497558594
2021-04-19,386.8025817871094
2021-04-20,383.9705810546875
2021-04-21,387.603759765625
2021-04-22,384.063720703125
2021-04-23,388.2279357910156
2021-04-26,389.038330078125
2021-04-27,388.95452880859375
2021-04-28,388.8426818847656
2021-04-29,391.32073974609375
2021-04-30,388.7495422363281
2021-05-03,389.5880432128906
2021-05-04,387.1846008300781
2021-05-05,387.30560302734375
2021-05-06,390.3985595703125
2021-05-07,393.23980712890625
2021-05-10,389.3457336425781
2021-05-11,385.8710021972656
2021-05-12,377.67303466796875
2021-05-13,382.20989990234375
2021-05-14,388.078857421875
2021-05-17,387.0913391113281
2021-05-18,383.7562561035156
2021-05-19,382.7501220703125
2021-05-20,386.8677978515625
2021-05-21,386.5510559082031
2021-05-24,390.4916687011719
2021-05-25,389.625244140625
2021-05-26,390.3985595703125
2021-05-27,390.60345458984375
2021-05-28,391.30218505859375
2021-06-01,390.95745849609375
2021-06-02,391.5722351074219
2021-06-03,390.1189880371094
2021-06-04,393.68701171875
2021-06-07,393.3050537109375
2021-06-08,393.3888244628906
2021-06-09,392.80194091796875
2021-06-10,394.6278991699219
2021-06-11,395.27996826171875
2021-06-14,396.1650390625
2021-06-15,395.4383544921875
2021-06-16,393.23046875
2021-06-17,393.1001281738281
2021-06-18,387.7970275878906
2021-06-21,393.3487243652344
2021-06-22,395.4515686035156
2021-06-23,394.9749755859375
2021-06-24,397.3114929199219
2021-06-25,398.7227783203125
2021-06-28,399.5266418457031
2021-06-29,399.74163818359375
2021-06-30,400.07806396484375
2021-07-01,402.2930908203125
2021-07-02,405.3680725097656
2021-07-06,404.629638671875
2021-07-07,406.0596618652344
2021-07-08,402.75103759765625
2021-07-09,407.05035400390625
2021-07-12,408.5084228515625
2021-07-13,407.1158142089844
2021-07-14,407.7232971191406
2021-07-15,406.3307800292969
2021-07-16,403.1435852050781
2021-07-19,397.1900329589844
2021-07-20,402.88189697265625
2021-07-21,406.1437683105469
2021-07-22,406.99432373046875
2021-07-23,411.1814270019531
2021-07-26,412.1908264160156
2021-07-27,410.31219482421875
2021-07-28,410.1440124511719
2021-07-29,411.8450012207031
2021-07-30,409.8450012207031
2021-08-02,408.985107421875
2021-08-03,412.3124084472656
2021-08-04,410.28411865234375
2021-08-05,412.8824768066406
2021-08-06,413.56475830078125
2021-08-09,413.2283630371094
2021-08-10,413.7424011230469
2021-08-11,414.7704162597656
2021-08-12,416.01348876953125
2021-08-13,416.7705993652344
2021-08-16,417.7518615722656
2021-08-17,415.0133972167969
2021-08-18,410.47113037109375
2021-08-19,411.1066589355469
2021-08-20,414.37786865234375
2021-08-23,418.02294921875
2021-08-24,418.6865234375
2021-08-25,419.5650939941406
2021-08-26,417.08837890625
2021-08-27,420.8174133300781
2021-08-30,422.6680603027344
2021-08-31,422.0419006347656
2021-09-01,422.26617431640625
2021-09-02,423.56524658203125
2021-09-03,423.4625549316406
2021-09-07,421.9483642578125
2021-09-08,421.43438720703125
2021-09-09,419.63055419921875
2021-09-10,416.3218994140625
2021-09-13,417.3873596191406
2021-09-14,415.1348571777344
2021-09-15,418.6024169921875
2021-09-16,417.9388732910156
2021-09-17,413.86761474609375
2021-09-20,406.96673583984375
2021-09-21,406.5823059082031
2021-09-22,410.5484924316406
2021-09-23,415.53668212890625
2021-09-24,416.2211608886719
2021-09-27,415.0303649902344
2021-09-28,406.666748046875
2021-09-29,407.35113525390625
2021-09-30,402.3724365234375
2021-10-01,407.154296875
2021-10-04,401.9035339355469
2021-10-05,406.08538818359375
2021-10-06,407.7731018066406
2021-10-07,411.298583984375
2021-10-08,410.5484924316406
2021-10-11,407.57623291015625
2021-10-12,406.5729675292969
2021-10-13,408.03564453125
2021-10-14,414.8990478515625
2021-10-15,418.0588073730469
2021-10-18,419.2965393066406
2021-10-19,422.53131103515625
2021-10-20,424.1909484863281
2021-10-21,425.29736328125
2021-10-22,424.8565673828125
2021-10-25,427.1350402832031
2021-10-26,427.5194396972656
2021-10-27,425.62548828125
2021-10-28,429.7322692871094
2021-10-29,430.60430908203125
2021-11-01,431.344970703125
2021-11-02,433.08892822265625
2021-11-03,435.7330627441406
2021-11-04,437.7864990234375
2021-11-05,439.305419921875
2021-11-08,439.68048095703125
2021-11-09,438.2271728515625
2021-11-10,434.70172119140625
2021-11-11,434.84234619140625
2021-11-12,438.1240234375
2021-11-15,438.2740478515625
2021-11-16,440.0086669921875
2021-11-17,438.9397277832031
2021-11-18,440.4306335449219
2021-11-19,439.6429748535156
2021-11-22,438.4052734375
2021-11-23,438.9866027832031
2021-11-24,440.15863037109375
2021-11-26,430.34173583984375
2021-11-29,435.6205749511719
2021-11-30,427.14434814453125
2021-12-01,422.40008544921875
2021-12-02,428.8696594238281
2021-12-03,425.13787841796875
2021-12-06,430.1730041503906
2021-12-07,439.071044921875
2021-12-08,440.233642578125
2021-12-09,437.26141357421875
2021-12-10,441.3775634765625
2021-12-13,437.46771240234375
2021-12-14,434.4578857421875
2021-12-15,441.2463073730469
2021-12-16,437.3551025390625
2021-12-17,432.700439453125
2021-12-20,428.0993957519531
2021-12-21,435.7019958496094
2021-12-22,440.05841064453125
2021-12-23,442.7964782714844
2021-12-27,449.0630187988281
2021-12-28,448.6960144042969
2021-12-29,449.27001953125
2021-12-30,448.0280456542969
2021-12-31,446.89892578125
2022-01-03,449.4864807128906
2022-01-04,449.3359375
2022-01-05,440.70770263671875
2022-01-06,440.2936096191406
2022-01-07,438.552978515625
2022-01-10,438.0072326660156
2022-01-11,441.9966735839844
2022-01-12,443.19171142578125
2022-01-13,437.0851135253906
2022-01-14,437.2638854980469
2022-01-18,429.52008056640625
2022-01-19,425.0601501464844
2022-01-20,420.3556213378906
2022-01-21,412.1037902832031
2022-01-24,413.85382080078125
2022-01-25,408.8011474609375
